LoanNumber,LoanPhase,LoanProgram,LoanSubType,State,City,County,Zip,Sum of PropertyCount,Sum of UnitCount,Sum of Sqft,Sum of MedianSqft,Avg. Prop. Cost/Sqft
71806,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83651,3,3,"7,890","7,890",$128.98
71805,Paid Off,New Construction,Purchase,Idaho,Emmett,Gem,83617,4,4,"7,678","7,678",$116.78
71804,Paid Off,New Construction,Purchase,Idaho,Kuna,Ada,83634,2,2,"4,646","4,646",$113.47
71803,Servicing,All In One,Purchase,Idaho,Meridian,Ada,83642,8,8,"16,117","16,117",$123.02
71802,Paid Off,New Construction,Refi-External,Washington,Bremerton,Kitsap,98311,6,12,"19,432","9,196",$127.40
71801,Paid Off,New Construction,Refi-External,Washington,Lynnwood,Snohomish,98037,2,2,"4,767","4,767",$154.86
71800,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83642,5,5,"9,553","9,553",$126.15
71799,Paid Off,New Construction,Refi-External,Florida,Grand Island,Lake,32735,4,4,"7,338","7,338",$92.18
71798,Paid Off,New Construction,Purchase,Washington,Seattle,King,98107,1,8,"8,520","1,065",$294.18
71796,Paid Off,New Construction,Purchase,Idaho,Meridian,Ada,83642,3,3,"8,029","8,029",$155.18
71794,Paid Off,New Construction,Refi-External,Texas,Houston,Harris,77008,6,6,"12,357","12,357",$111.77
71793,Paid Off,New Construction,Refi-External,Oregon,Philomath,Benton,97370,7,7,"14,611","14,611",$85.27
71792,Paid Off,New Construction,Refi-External,Florida,Stuart,Martin,34994,1,1,"1,535","1,535",$97.48
71791,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,7,7,"15,536","15,536",$120.15
71790,Servicing,New Construction,Purchase,Washington,Tacoma,Pierce,98422,1,1,"4,266","4,266",$185.08
71789,Paid Off,New Construction,Refi-External,Florida,Naples,Collier,34112,11,11,"26,235","26,235",$112.12
71788,Paid Off,New Construction,Refi-External,Colorado,Grand Junction,Mesa,81504,1,1,"1,765","1,765",$103.95
71787,Production,All In One,Purchase,Washington,Kirkland,King,98033,1,15,"28,660","1,476",$289.68
71786,Paid Off,New Construction,Purchase,Idaho,Meridian,Ada,83642,3,3,"9,856","9,856",$143.38
71785,Paid Off,All In One,Refi-External,Colorado,Colorado Springs,El Paso,80907,6,20,"36,156","10,540",$141.21
71784,Servicing,All In One,Refi-External,Florida,Orlando,Orange,32806,8,41,"53,058","2,306",$105.90
71783,Production,New Construction,Purchase,Texas,Dallas,Dallas,75235,2,8,"12,928","3,228",$113.41
71782,Paid Off,New Construction,Purchase,Idaho,Meridian,Ada,83642,6,6,"15,986","15,986",$137.79
71780,Production,New Construction,Refi-External,Texas,Dallas,Dallas,75204,2,4,"11,000","5,500",$143.00
71779,Paid Off,New Construction,Refi-External,Texas,Dallas,Dallas,75235,2,11,"20,287","3,602",$106.03
71778,Paid Off,New Construction,Refi-Internal,Texas,Bellaire,Harris,77401,1,1,"4,442","4,442",$118.19
71777,Servicing,All In One,Refi-Internal,Kansas,Spring Hill,Johnson,66083,25,50,"57,200","28,600",$109.91
71776,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80829,8,29,"63,306","13,743",$71.22
71775,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80918,4,4,"6,878","6,878",$140.25
71774,Paid Off,New Construction,Refi-External,Washington,Federal Way,King,98003,8,8,"22,451","22,451",$90.50
71773,Production,Construction,Refi-External,Colorado,Monument,El Paso,80132,1,2,"3,552","1,694",$149.64
71772,Servicing,New Construction,Refi-External,Washington,Seattle,King,98127,1,5,"7,100","1,420",$169.72
71771,Production,New Construction,Refi-External,Colorado,Monument,El Paso,80132,1,2,"3,552","1,694",$148.51
71770,Production,New Construction,Purchase,Georgia,Norcross,Gwinnett,30071,5,28,"61,600","11,000",$84.09
71769,Paid Off,New Construction,Purchase,Idaho,Eagle,Ada,83616,3,3,"9,418","9,418",$139.79
71768,Servicing,New Construction,Refi-External,North Carolina,Pinehurst,Moore,28374,2,4,"10,432","5,216",$76.69
71767,Servicing,New Construction,Refi-External,North Carolina,Charlotte,Mecklenburg,28270,1,1,"4,731","4,731",$130.42
71766,Paid Off,New Construction,Purchase,Idaho,Emmett,Gem,83617,4,4,"7,889","7,889",$107.27
71765,Production,New Construction,Refi-External,Colorado,Monument,El Paso,80132,1,3,"4,369","1,355",$140.03
71764,Paid Off,New Construction,Refi-External,Colorado,Parker,Douglas,80138,1,1,"6,620","6,620",$156.32
71763,Paid Off,New Construction,Refi-External,North Carolina,Arden,Buncombe,28704,3,7,"10,260","3,562",$191.29
71762,Production,New Construction,Refi-External,Florida,Orlando,Orange,32833,4,4,"9,224","9,224",$89.22
71761,Production,New Construction,Purchase,Illinois,Northbrook,Cook,60062,4,20,"50,117","9,998",$126.79
71760,Production,New Construction,Refi-External,Oregon,Bend,Deschutes,97701,2,6,"9,396","3,122",$114.42
71759,Production,New Construction,Refi-External,Texas,Rowlett,Dallas,75089,4,12,"26,964","8,988",$89.44
71758,Paid Off,New Construction,Purchase,Idaho,Emmett,Gem,83617,5,5,"9,078","9,078",$103.52
71756,Paid Off,New Construction,Purchase,Idaho,Caldwell,Canyon,83607,4,4,"8,657","8,657",$124.05
71755,Servicing,New Construction,Refi-External,Colorado,Fort Collins,Larimer,80524,8,8,"17,940","17,940",$202.01
71754,Paid Off,New Construction,Refi-Internal,Washington,Seattle,King,98144,1,7,"7,910","1,130",$247.39
71753,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83651,4,4,"10,176","10,176",$126.51
71752,Paid Off,New Construction,Refi-External,Washington,Port Orchard,Kitsap,98366,1,1,"1,472","1,472",$144.02
71751,Paid Off,New Construction,Purchase,Texas,Princeton,Collin,75407,4,4,"10,501","10,501",$95.03
71750,Production,New Construction,Refi-External,Hawaii,Kailua Kona,Hawaii,96740,9,44,"50,708","9,947",$186.27
71749,Paid Off,New Construction,Purchase,Idaho,Caldwell,Canyon,83607,4,4,"8,256","8,256",$121.28
71748,Paid Off,New Construction,Refi-External,Washington,Medina,King,98039,1,1,"5,563","5,563",$183.63
71747,Paid Off,New Construction,Refi-External,Washington,Kirkland,King,98033,1,1,"4,034","4,034",$260.78
71745,Paid Off,All In One,Refi-Internal,Oregon,Springfield,Lane,97401,10,10,"14,000","14,000",$137.50
71744,Paid Off,New Construction,Refi-External,Texas,Houston,Harris,77055,1,1,"3,959","3,959",$130.02
71743,Paid Off,New Construction,Refi-External,Idaho,Rexburg,Madison,83440,3,3,"5,527","5,527",$123.26
71742,Servicing,New Construction,Refi-External,Florida,Palm Bay,Brevard,32907,9,9,"14,652","14,652",$77.08
71740,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83646,1,1,"2,650","2,650",$105.72
71739,Paid Off,New Construction,Refi-External,Florida,Kissimmee,Osceola,34746,5,5,"8,554","8,554",$98.86
71738,Paid Off,New Construction,Refi-External,Washington,Kirkland,King,98033,1,1,"4,582","4,582",$198.96
71736,Paid Off,New Construction,Refi-External,Colorado,Colorado City,Pueblo,81019,1,1,"2,425","2,425",$101.03
71735,Production,Fix and Flip,Refi-External,Colorado,Grand Junction,Mesa,81503,1,1,"2,012","2,012",$27.34
71734,Paid Off,New Construction,Refi-External,Idaho,Nampa,Canyon,83686,1,1,"2,586","2,586",$111.55
71733,Paid Off,All In One,Refi-External,Colorado,Lakewood,Jefferson,80214,1,16,"27,880","1,389",$203.27
71732,Paid Off,New Construction,Purchase,Oregon,Saint Helens,Columbia,97051,2,2,"4,646","4,646",$98.99
71731,Servicing,New Construction,Refi-External,Florida,Palm Bay,Brevard,32909,10,10,"16,280","16,280",$77.08
71730,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"4,615","4,615",$87.96
71729,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"4,615","4,615",$87.96
71728,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"4,615","4,615",$87.96
71727,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"3,906","3,906",$98.04
71726,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"4,615","4,615",$82.98
71725,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"4,615","4,615",$87.96
71724,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"4,615","4,615",$87.96
71723,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"4,615","4,615",$87.96
71722,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"4,615","4,615",$87.96
71721,Paid Off,New Construction,Purchase,Texas,Nevada,Collin,75173,5,5,"12,638","12,638",$95.94
71719,Production,New Construction,Refi-External,Idaho,Kuna,Ada,83634,1,1,"1,829","1,829",$128.33
71718,Paid Off,New Construction,Purchase,Idaho,Emmett,Gem,83617,4,4,"7,901","7,901",$101.52
71717,Paid Off,New Construction,Refi-External,Idaho,Boise,Ada,83709,1,1,"2,046","2,046",$131.63
71716,Paid Off,New Construction,Refi-External,Colorado,Denver,Jefferson,80215,3,3,"4,818","4,818",$178.08
71715,Paid Off,New Construction,Refi-External,Florida,North Port,Sarasota,34291,2,2,"2,975","2,975",$109.47
71714,Paid Off,New Construction,Purchase,Idaho,Caldwell,Canyon,83607,1,1,"2,323","2,323",$105.08
71713,Production,New Construction,Purchase,Colorado,Falcon,El Paso,80831,9,9,"40,826","40,826",$88.53
71712,Servicing,New Construction,Refi-External,Idaho,Eagle,Ada,83616,6,6,"21,973","21,973",$116.03
71711,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83646,5,5,"9,394","9,394",$114.88
71710,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83646,5,5,"9,342","9,342",$115.52
71709,Paid Off,New Construction,Purchase,Washington,Stanwood,Snohomish,98292,1,1,"2,186","2,186",$131.06
71708,Servicing,New Construction,Refi-External,Florida,Deltona,Volusia,32738,2,18,"15,678","1,736",$141.86
71707,Paid Off,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"2,670","2,670",$275.49
71706,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80918,4,4,"9,477","9,477",$105.31
71705,Paid Off,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"2,670","2,670",$275.49
71704,Paid Off,New Construction,Refi-External,Florida,Palm Bay,Brevard,32909,10,10,"16,280","16,280",$77.08
71703,Paid Off,New Construction,Refi-External,Oregon,Philomath,Benton,97370,20,20,"39,047","39,047",$86.34
71701,Paid Off,New Construction,Purchase,Washington,Cle Elum,Kittitas,98922,1,1,"3,586","3,586",$236.60
71700,Paid Off,New Construction,Purchase,Washington,Cle Elum,Kittitas,98922,1,1,"2,612","2,612",$246.79
71699,Paid Off,New Construction,Refi-External,Florida,Palm Bay,Brevard,32909,10,10,"16,280","16,280",$82.92
71698,Production,New Construction,Refi-External,Colorado,Grand Junction,Mesa,81503,11,11,"17,956","17,956",$109.75
71697,Paid Off,New Construction,Refi-External,Florida,Palm Bay,Brevard,32909,10,10,"16,280","16,280",$95.21
71696,Production,New Construction,Refi-Internal,Idaho,Boise,Ada,83716,6,6,"12,457","12,457",$153.36
71695,Production,New Construction,Refi-External,Colorado,Aurora,Arapahoe,80017,1,20,"22,840",884,$133.74
71694,Production,New Construction,Purchase,Washington,Auburn,King,98002,1,1,"1,250","1,250",$160.00
71692,Production,Fix and Flip,Purchase,Washington,Olympia,Thurston,98513,1,1,"1,404","1,404",$64.10
71691,Paid Off,New Construction,Refi-External,Oregon,Redmond,Deschutes,97756,1,1,"1,552","1,552",$141.58
71690,Paid Off,New Construction,Refi-External,Oregon,Redmond,Deschutes,97756,1,1,"1,552","1,552",$136.83
71689,Paid Off,New Construction,Refi-External,Oregon,Redmond,Deschutes,97756,1,1,"1,552","1,552",$136.60
71688,Production,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80921,1,5,"7,846","1,493",$111.15
71687,Production,New Construction,Refi-External,Texas,Austin,Travis,78669,3,3,"8,400","8,400",$206.35
71684,Paid Off,New Construction,Refi-External,Washington,Centralia,Lewis,98531,1,1,"1,458","1,458",$96.83
71683,Paid Off,New Construction,Purchase,Florida,Sarasota,Sarasota,34236,1,6,"11,376","1,468",$105.49
71679,Paid Off,New Construction,Refi-External,Oregon,Portland,Multnomah,97202,2,9,"17,186","3,785",$170.81
71678,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,2,2,"4,769","4,769",$115.61
71677,Paid Off,New Construction,Refi-External,Oregon,Molalla,Clackamas,97038,1,1,"3,000","3,000",$138.61
71676,Paid Off,New Construction,Refi-External,Colorado,Monument,El Paso,80132,1,4,"5,228","1,307",$145.41
71675,Paid Off,New Construction,Purchase,Idaho,Star,Ada,83669,3,3,"6,719","6,719",$106.99
71674,Paid Off,Bridge to Build,Purchase,Florida,Orlando,Orange,32822,8,32,"43,860","11,670",$97.87
71673,Paid Off,New Construction,Refi-External,Colorado,Severance,Weld,80550,6,6,"12,064","12,064",$137.20
71672,Paid Off,New Construction,Refi-External,Colorado,Severance,Weld,80550,7,7,"14,024","14,024",$136.82
71671,Paid Off,New Construction,Refi-External,Colorado,Lakewood,Jefferson,80214,2,8,"14,460","3,578",$187.46
71670,Production,New Construction,Refi-External,Colorado,Grand Junction,Mesa,81503,8,8,"17,668","17,668",$110.23
71669,Production,New Construction,Refi-External,Colorado,Grand Junction,Mesa,81503,7,7,"14,679","14,679",$112.92
71668,Paid Off,New Construction,Refi-External,Florida,Port Saint Lucie,Saint Lucie,34953,1,1,"1,809","1,809",$89.11
71667,Paid Off,New Construction,Refi-External,Florida,Port Saint Lucie,Saint Lucie,34953,1,1,"1,597","1,597",$97.80
71666,Paid Off,New Construction,Refi-External,Florida,Port Saint Lucie,Saint Lucie,34953,1,1,"1,833","1,833",$88.64
71665,Paid Off,New Construction,Refi-External,Florida,Port Saint Lucie,Saint Lucie,34953,1,1,"1,868","1,868",$99.39
71664,Paid Off,New Construction,Refi-External,Florida,Port Saint Lucie,Saint Lucie,33480,1,1,"1,833","1,833",$90.14
71663,Paid Off,New Construction,Refi-External,Florida,Port Saint Lucie,Saint Lucie,34953,1,1,"1,336","1,336",$104.73
71662,Paid Off,New Construction,Refi-External,Florida,Port Saint Lucie,Saint Lucie,34953,1,1,"1,336","1,336",$107.35
71661,Paid Off,New Construction,Refi-External,Florida,Palm Beach,Palm Beach,33480,1,1,"1,833","1,833",$88.64
71660,Paid Off,New Construction,Refi-External,Florida,Port Saint Lucie,Saint Lucie,33480,1,1,"1,869","1,869",$97.98
71659,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80921,1,5,"7,846","1,493",$100.97
71658,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80921,1,5,"7,724","1,493",$94.04
71657,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80921,1,5,"7,846","1,493",$76.18
71656,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80921,1,5,"7,846","1,493",$82.54
71655,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80921,1,6,"9,511","1,522",$59.31
71654,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80921,1,8,"12,341","1,444",$57.41
71653,Paid Off,New Construction,Purchase,Texas,Granbury,Hood,76048,1,1,"1,381","1,381",$94.44
71652,Paid Off,New Construction,Refi-External,Washington,Redmond,King,98052,1,1,"5,255","5,255",$142.72
71651,Paid Off,Bridge to Build,Purchase,Washington,Cle Elum,Kittitas,98922,1,1,"2,855","2,855",$265.76
71650,Paid Off,New Construction,Purchase,Washington,Seattle,King,98116,2,6,"9,946","3,132",$211.67
71649,Paid Off,New Construction,Refi-External,Oregon,Portland,Multnomah,97220,2,2,"2,774","2,774",$137.94
71647,Paid Off,New Construction,Refi-External,Georgia,Ludowici,Long,31316,3,3,"6,377","6,377",$66.60
71646,Paid Off,Fix and Flip,Purchase,Florida,Tampa,Hillsborough,33605,1,1,988,988,$60.73
71645,Production,New Construction,Refi-External,Washington,Tacoma,Pierce,98422,8,8,"25,024","25,024",$112.81
71643,Paid Off,New Construction,Refi-External,Washington,Lynnwood,Snohomish,98087,9,9,"22,949","22,949",$120.12
71639,Paid Off,New Construction,Purchase,Florida,Poinciana,Polk,34759,4,4,"6,108","6,108",$95.82
71638,Paid Off,Fix and Flip,Purchase,Colorado,Pueblo,Pueblo,81003,1,1,720,720,$48.61
71637,Paid Off,New Construction,Refi-External,Colorado,Denver,Denver,80204,2,4,"7,880","3,940",$159.37
71636,Paid Off,New Construction,Refi-External,Colorado,Deer Trail,Arapahoe,80105,4,4,"5,912","5,912",$125.93
71635,Paid Off,New Construction,Refi-External,Colorado,Deer Trail,Arapahoe,80105,4,4,"4,000","4,000",$186.00
71634,Paid Off,New Construction,Refi-External,Colorado,Deer Trail,Arapahoe,80105,3,3,"3,000","3,000",$186.00
71633,Paid Off,New Construction,Refi-External,Colorado,Deer Trail,Arapahoe,80105,4,4,"4,000","4,000",$186.00
71632,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,1,1,"1,730","1,730",$114.90
71630,Paid Off,New Construction,Purchase,Idaho,Star,Ada,83669,4,4,"9,876","9,876",$115.43
71629,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83687,1,1,"2,930","2,930",$131.91
71628,Paid Off,New Construction,Refi-External,Oregon,Sandy,Clackamas,97055,1,1,"2,570","2,570",$87.09
71627,Paid Off,Fix and Flip,Refi-External,Texas,Grand Prairie,Dallas,75050,1,1,"2,577","2,577",$34.92
71626,Paid Off,New Construction,Purchase,Idaho,Meridian,Ada,83642,1,1,"2,235","2,235",$105.15
71625,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83687,1,1,"1,859","1,859",$126.41
71623,Paid Off,New Construction,Refi-External,Texas,Spicewood,Travis,78669,3,3,"7,500","7,500",$179.59
71622,Paid Off,New Construction,Refi-External,Texas,Austin,Travis,78669,3,3,"7,803","7,803",$200.35
71621,Production,New Construction,Refi-External,Texas,Galveston,Galveston,77554,1,1,"4,450","4,450",$174.16
71620,Paid Off,New Construction,Refi-External,Washington,Arlington,Snohomish,98223,1,1,"1,281","1,281",$163.93
71619,Paid Off,New Construction,Purchase,Oregon,Forest Grove,Washington,97116,6,6,"12,218","12,218",$99.24
71617,Production,New Construction,Purchase,Oregon,Forest Grove,Washington,97116,2,2,"3,544","3,544",$113.17
71616,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,3,3,"6,312","6,312",$103.24
71615,Paid Off,New Construction,Refi-External,Colorado,Fruita,Mesa,81521,1,1,"2,073","2,073",$118.12
71614,Production,New Construction,Refi-External,Oregon,Portland,Multnomah,97217,1,1,"10,798","10,798",$218.79
71613,Paid Off,New Construction,Purchase,Idaho,Meridian,Ada,83646,6,6,"10,716","10,716",$107.17
71612,Paid Off,New Construction,Purchase,Idaho,Star,Ada,83669,2,2,"3,920","3,920",$109.30
71611,Paid Off,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"3,477","3,477",$207.08
71609,Paid Off,New Construction,Purchase,Idaho,Meridian,Ada,83642,4,4,"10,037","10,037",$127.79
71608,Production,New Construction,Refi-External,Washington,Vancouver,Clark,98661,1,1,"3,111","3,111",$210.85
71607,Paid Off,New Construction,Refi-External,Washington,Vancouver,Clark,98663,1,3,"5,640","1,880",$102.43
71604,Paid Off,New Construction,Purchase,Washington,Vancouver,Clark,98661,2,2,"3,155","3,155",$113.27
71602,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,1,1,"3,565","3,565",$105.46
71601,Servicing,New Construction,Refi-External,Oregon,Portland,Multnomah,97213,2,2,"3,642","3,642",$130.81
71600,Paid Off,New Construction,Refi-External,Texas,Houston,Harris,77079,1,1,"3,516","3,516",$163.45
71596,Paid Off,Bridge to Build,Purchase,Washington,Cle Elum,Kittitas,98922,1,1,"2,942","2,942",$265.13
71595,Paid Off,New Construction,Refi-External,Colorado,Denver,Denver,80211,2,2,"7,402","7,402",$172.02
71594,Paid Off,New Construction,Purchase,Idaho,Star,Ada,83669,10,10,"20,370","20,370",$89.84
71592,Paid Off,New Construction,Refi-External,Colorado,Franktown,Douglas,80116,1,1,"6,114","6,114",$189.18
71588,Paid Off,New Construction,Refi-External,Florida,North Port,Sarasota,34288,7,7,"12,794","12,794",$95.49
71586,Paid Off,New Construction,Refi-External,Colorado,Denver,Denver,80210,1,1,"4,136","4,136",$129.47
71585,Paid Off,Bridge to Build,Purchase,Washington,Seattle,King,98166,3,3,"6,954","6,954",$264.96
71584,Paid Off,Bridge to Build,Purchase,Washington,Seattle,King,98166,3,3,"6,954","6,954",$250.73
71583,Paid Off,Fix and Flip,Purchase,Washington,Seattle,King,98116,1,1,"2,140","2,140",$97.25
71581,Paid Off,New Construction,Purchase,Idaho,Star,Ada,83669,6,6,"18,358","18,358",$83.98
71579,Paid Off,New Construction,Refi-External,Florida,Poinciana,Osceola,34759,7,7,"10,676","10,676",$88.04
71577,Paid Off,New Construction,Purchase,Washington,Edmonds,Snohomish,98020,1,1,"3,685","3,685",$183.05
71575,Paid Off,Fix and Flip,Refi-External,Texas,Houston,Harris,77009,1,1,"2,059","2,059",$84.99
71572,Paid Off,New Construction,Refi-External,Colorado,Fort Collins,Larimer,80528,4,8,"26,880","13,440",$96.03
71571,Paid Off,New Construction,Refi-External,Idaho,Boise,Ada,83703,2,2,"4,407","4,407",$149.07
71570,Paid Off,New Construction,Refi-External,Oregon,Hillsboro,Washington,97123,1,1,"2,508","2,508",$110.43
71569,Production,New Construction,Purchase,Idaho,Star,Ada,83669,10,10,"29,514","29,514",$840.16
71568,Production,New Construction,Refi-External,Colorado,Denver,Adams,80221,1,1,"4,832","4,832",$97.27
71567,Production,New Construction,Refi-External,Oregon,Hillsboro,Washington,97123,1,1,"2,508","2,508",$110.43
71566,Servicing,New Construction,Refi-External,Georgia,Marietta,Cobb,30062,3,3,"12,225","12,225",$77.38
71565,Production,New Construction,Purchase,Florida,North Port,Sarasota,34291,2,2,"2,975","2,975",$106.58
71564,Paid Off,New Construction,Refi-External,Georgia,Marietta,Cobb,30062,2,2,"8,064","8,064",$99.43
71563,Servicing,New Construction,Refi-External,Idaho,Garden City,Ada,83714,3,15,"24,551","4,799",$197.81
71561,Paid Off,New Construction,Purchase,Washington,Monroe,Snohomish,98272,2,2,"3,278","3,278",$199.51
71560,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,1,1,"2,187","2,187",$105.88
71559,Paid Off,New Construction,Purchase,Washington,Battle Ground,Clark,98604,2,2,"4,288","4,288",$134.55
71558,Paid Off,New Construction,Purchase,Washington,Battle Ground,Clark,98604,2,2,"5,194","5,194",$116.39
71557,Paid Off,New Construction,Purchase,Washington,Battle Ground,Clark,98604,2,2,"4,927","4,927",$124.76
71554,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83646,1,1,"1,810","1,810",$126.61
71553,Production,New Construction,Refi-External,Idaho,Caldwell,Canyon,83605,10,40,"40,724","10,181",$83.35
71552,Production,New Construction,Refi-External,Idaho,Caldwell,Canyon,83605,9,41,"35,808","8,099",$92.62
71551,Paid Off,New Construction,Refi-External,Idaho,Meridian,Ada,83646,1,1,"1,490","1,490",$132.32
71550,Paid Off,New Construction,Purchase,Washington,Snohomish,Snohomish,98290,9,9,"19,610","19,610",$152.04
71549,Paid Off,New Construction,Refi-External,Colorado,Colorado Springs,El Paso,80919,2,4,"11,177","5,253",$104.33
71548,Paid Off,New Construction,Purchase,Florida,Poinciana,Polk,34759,1,1,"1,400","1,400",$95.38
71547,Production,New Construction,Refi-External,Colorado,Denver,Adams,80221,1,1,"4,832","4,832",$97.27
71546,Paid Off,New Construction,Refi-External,Washington,Vancouver,Clark,98685,1,1,"1,735","1,735",$127.71
71544,Paid Off,New Construction,Purchase,Idaho,Kuna,Ada,83634,1,1,"2,461","2,461",$111.99
71542,Paid Off,New Construction,Purchase,Colorado,Peyton,El Paso,80831,2,2,"8,111","8,111",$93.01
71541,Paid Off,New Construction,Refi-External,Idaho,Nampa,Canyon,83686,5,5,"11,580","11,580",$104.26
71538,Paid Off,New Construction,Refi-External,Oregon,Waldport,Lincoln,97394,1,1,"2,373","2,373",$118.42
71537,Production,New Construction,Refi-External,Idaho,Garden City,Ada,83714,3,15,"25,346","5,020",$172.94
71536,Production,New Construction,Refi-External,Texas,West Tawakoni,Hunt,75474,6,12,"18,900","9,450",$217.47
71535,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,1,1,"2,476","2,476",$110.18
71534,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,1,1,"2,177","2,177",$106.36
71533,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,1,1,"1,947","1,947",$99.27
71532,Paid Off,New Construction,Purchase,Idaho,Nampa,Canyon,83686,1,1,"1,947","1,947",$99.78
71531,Paid Off,New Construction,Purchase,Oregon,North Plains,Washington,97133,1,1,"2,477","2,477",$101.01
71530,Paid Off,New Construction,Refi-Internal,Washington,Sammamish,King,98074,4,4,"9,836","9,836",$212.95
71529,Paid Off,New Construction,Refi-External,Florida,Palm Bay,Brevard,32909,8,8,"13,125","13,125",$109.15
71528,Paid Off,New Construction,Purchase,Colorado,Denver,Denver,80211,1,13,"18,401","1,374",$215.53
71527,Paid Off,New Construction,Purchase,Colorado,Denver,Denver,80211,1,6,"8,287","1,381",$225.39
71526,Paid Off,New Construction,Refi-External,Colorado,Denver,Denver,80211,1,1,"2,863","2,863",$222.76
71525,Paid Off,New Construction,Refi-External,Texas,Houston,Harris,77024,1,1,"3,448","3,448",$166.76
71524,Paid Off,New Construction,Refi-External,Colorado,Aurora,Arapahoe,80010,1,20,"22,228",884,$143.12
71522,Paid Off,New Construction,Purchase,Idaho,Meridian,Ada,83642,1,1,"2,288","2,288",$117.46
71520,Production,New Construction,Refi-External,Oregon,Salem,Marion,97306,5,5,"8,416","8,416",$98.97
71519,Paid Off,Fix and Flip,Refi-External,Washington,Anacortes,Skagit,98221,1,2,"4,623","1,574",$18.21
71518,Paid Off,New Construction,Refi-External,Idaho,Kuna,Ada,83634,1,1,"2,474","2,474",$114.56
71517,Production,New Construction,Refi-External,Washington,Tacoma,Pierce,98406,2,7,"10,976","3,136",$206.36
71516,Paid Off,Fix and Flip,Purchase,Oregon,Forest Grove,Washington,97116,1,1,990,990,$60.61
71515,Paid Off,Fix and Flip,Purchase,Colorado,Arvada,Jefferson,80007,1,1,"1,949","1,949",$48.74
71514,Paid Off,New Construction,Purchase,Florida,Poinciana,Osceola,34759,7,7,"10,099","10,099",$89.52
71513,Paid Off,New Construction,Purchase,Florida,Poinciana,Osceola,34759,8,8,"11,214","11,214",$91.14
71512,Paid Off,New Construction,Refi-External,Oregon,Portland,Multnomah,97221,1,1,"2,430","2,430",$196.44
71510,Paid Off,Fix and Flip,Purchase,Texas,Houston,Harris,77084,1,1,"1,947","1,947",$6.83
71509,Paid Off,Development,Purchase,Washington,Vancouver,Clark,98682,1,1,"1,000","1,000",$300.00
71508,Production,New Construction,Refi-External,Oregon,Waldport,Lincoln,97394,1,1,"2,373","2,373",$118.42
71507,Paid Off,New Construction,Refi-External,Idaho,Kuna,Ada,83634,1,1,"2,003","2,003",$118.48
71506,Paid Off,New Construction,Refi-External,North Carolina,Charlotte,Mecklenburg,28226,5,20,"63,258","15,282",$97.12
71505,Paid Off,New Construction,Purchase,Texas,Kemah,Galveston,77565,1,4,"4,448","1,009",$116.46
