LoanNumber,LoanPhase,LoanProgram,LoanSubType,State,City,County,Zip,Sum of PropertyCount,Sum of UnitCount,Sum of Sqft,Sum of MedianSqft,Avg. Prop. Cost/Sqft
72316,Servicing,Multifamily,Refi-External,Indiana,Elkhart,Elkhart,46516,1,1,"9,860","9,860",$27.38
72314,Servicing,New Construction,Refi-External,Idaho,Donnelly,Valley,83615,1,1,"5,747","5,747",$188.29
72311,Servicing,New Construction,Purchase,Montana,Frenchtown,Missoula,59834,8,8,"14,836","14,836",$115.15
72310,Paid Off,New Construction,Refi-External,Washington,Cle Elum,Kittitas,98922,1,1,"4,000","4,000",$327.23
72309,Paid Off,Bridge,Purchase,Colorado,Brighton,Adams,80601,1,52,"312,000","6,000",$3.21
72308,Servicing,New Construction,Purchase,Washington,Cle Elum,Kittitas,98922,1,1,"2,927","2,927",$316.02
72307,Servicing,New Construction,Refi-External,Florida,Palm Bay,Brevard,32908,1,1,"2,154","2,154",$98.19
72306,Paid Off,Fix and Flip,Purchase,Arizona,Fountain Hls,Maricopa,85268,1,1,"1,881","1,881",$42.53
72305,Production,New Construction,Refi-External,Hawaii,Pahoa,Hawaii,96778,2,2,"3,044","3,044",$254.29
72304,Paid Off,New Construction,Refi-External,Idaho,Nampa,Canyon,83687,1,1,"1,695","1,695",$117.99
72303,Production,New Construction,Purchase,Idaho,Boise,Ada,83703,10,10,"31,288","31,288",$900.24
72302,Production,New Construction,Purchase,Oregon,Portland,Multnomah,97239,1,1,"3,026","3,026",$285.66
72301,Servicing,New Construction,Refi-External,Georgia,Douglasville,Douglas,30135,1,1,"4,307","4,307",$69.72
72299,Production,All In One,Refi-External,Washington,Seattle,King,98199,6,48,"69,228","7,200",$53.28
72298,Servicing,Fix and Flip,Purchase,Washington,Shadle Garland,Spokane,99205,1,3,"2,782",815,$41.34
72296,Paid Off,New Construction,Refi-External,Washington,Skamania,Skamania,98648,1,1,"1,500","1,500",$138.52
72295,Production,Fix and Flip,Purchase,Hawaii,Keaau,Hawaii,96749,1,1,"1,830","1,830",$68.31
72294,Servicing,New Construction,Purchase,Montana,Missoula,Missoula,59808,1,3,"4,541","1,511",$67.06
72293,Production,New Construction,Refi-External,Washington,Loon Lake,Stevens,99148,1,1,"1,627","1,627",$201.60
72290,Servicing,New Construction,Purchase,Idaho,Caldwell,Canyon,83605,3,3,"7,930","7,930",$185.90
72288,Paid Off,Fix and Flip,Purchase,Indiana,Indianapolis,Marion,46201,1,1,"1,984","1,984",$37.10
72286,Production,Bridge to Build,Purchase,Florida,Kissimmee,Osceola,34747,1,8,"21,600","2,700",$152.78
72285,Production,Fix and Flip,Refi-External,California,Los Angeles,Los Angeles,90069,1,1,"2,469","2,469",$121.51
72284,Servicing,New Construction,Refi-External,Colorado,Aurora,Arapahoe,80016,5,25,"33,885","6,115",$155.46
72283,Servicing,New Construction,Purchase,Washington,Wallingford,King,98103,1,5,"4,710",942,$365.18
72282,Servicing,All In One,Refi-External,California,San Diego,San Diego,92102,1,38,"49,070","1,147",$26.10
72280,Production,All In One,Refi-External,Utah,Salem,Utah,84653,5,32,"76,800","12,000",$716.91
72279,Servicing,Multifamily,Refi-External,Colorado,Colo Spgs,El Paso,80903,6,62,"49,815","4,470",$229.72
72274,Production,All In One,Refi-External,California,Sacramento,Sacramento,95818,8,8,"13,149","13,149",$229.09
72273,Servicing,All In One,Refi-External,Texas,Crowley,Tarrant,76036,9,9,"15,372","15,372",$681.32
72272,Servicing,New Construction,Refi-External,Washington,Bremerton,Kitsap,98311,8,13,"21,411","12,787",$120.40
72269,Servicing,New Construction,Refi-External,California,Mar Vista,Los Angeles,90066,1,6,"14,308","2,315",$271.91
72268,Paid Off,Fix and Flip,Refi-External,Washington,Yakima,Yakima,98908,1,1,"2,125","2,125",$63.53
72267,Servicing,New Construction,Purchase,Montana,Missoula,Missoula,59808,1,3,"6,384","2,128",$47.70
72266,Servicing,New Construction,Refi-External,California,Campbell,Santa Clara,95008,1,1,"3,866","3,866",$219.85
72265,Production,New Construction,Refi-External,California,Oakland,Alameda,94612,1,8,"8,498",944,$482.47
72262,Production,Fix and Flip,Purchase,Florida,Davenport,Polk,33897,1,1,"1,903","1,903",$10.51
72259,Production,New Construction,Refi-External,Michigan,Dearborn,Wayne,48124,1,1,"2,414","2,414",$109.04
72257,Production,New Construction,Refi-External,Oregon,St Helens,Columbia,97051,2,2,"4,799","4,799",$150.20
72256,Paid Off,New Construction,Refi-External,South Carolina,Laurens,Laurens,29360,3,3,"5,025","5,025",$112.24
72251,Servicing,New Construction,Purchase,Georgia,Alpharetta,Fulton,30004,3,3,"9,228","9,228",$149.13
